index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
120,1617400299.1,48.129062013862686,-1.1356774752588132,40.0,,,-86.72230520000001,36.110395700000005,,,0.0,0.9210569927028976,0.0,0.0,178.12419270146867
121,1617400299.2,47.93,-1.17,40.0,,,-86.7222978,36.1103842,,,0.0,0.1068108416751423,0.0,0.0,179.5654028484639
122,1617400299.3,47.68500991917708,-1.17,40.0,,,-86.7222907,36.11037279999999,,,0.0,0.0,0.0,0.0,180.9844407506727
123,1617400299.4,47.420605260964976,-1.17,39.52291513173427,,,-86.7222835,36.110361700000006,,,0.0,0.0,0.0,0.0,182.37790747274343
124,1617400299.5,47.23074494881826,-1.17,39.02529449939552,,,-86.72227629999999,36.11035029999999,,,0.0,0.0,0.0,0.0,183.80100576097607
125,1617400299.6,46.97941673132217,-1.17,39.0,,,-86.7222693,36.110339200000006,,,0.0,0.0,0.0,0.0,185.1862246130053
126,1617400299.7,46.751475488580176,-1.274455804510188,39.0,,,-86.722262,36.110328,,,0.0,0.0,0.0,0.0,186.59371302183777
127,1617400299.8,46.504963593775535,-1.2925022741055183,38.52365892981502,,,-86.7222548,36.11031679999999,,,0.0,0.0,0.0,0.0,187.9970385024745
128,1617400299.9,46.25809471117779,-1.3128002943661587,38.02349317420795,,,-86.7222478,36.110306,,,0.0,0.0,0.0,0.0,189.3526188493849
129,1617400300.0,46.04147914505472,-1.17,38.0,,,-86.7222408,36.110295,,,0.0,0.0,0.0,0.0,190.727939390159
130,1617400300.1,45.77422442483655,-1.367422229139511,38.0,,,-86.7222338,36.1102837,,,0.0,0.0,0.0,0.0,192.1330101879746
131,1617400300.2,45.51852993552934,-1.17,37.52315384102109,,,-86.72222679999999,36.1102728,,,0.0,0.0,0.0,0.0,193.4984511317533
132,1617400300.3,45.26736154635198,-1.3339366549088771,37.0233897642674,,,-86.72222,36.110262,,,0.0,0.0,0.0,0.0,194.84579132328804
133,1617400300.4,45.03425733642457,-1.17,37.0,,,-86.722213,36.110251,,,0.0,0.0,0.0,0.0,196.22111202454604
134,1617400300.5,44.80204063994288,-1.250742916601442,37.0,,,-86.7222062,36.1102402,,,0.0,0.0,0.0,0.0,197.56845229295135
135,1617400300.6,44.58329562863644,-1.210371458300721,36.511440380436014,,,-86.72219924999999,36.11022945,,,0.0,0.0,0.0,0.0,198.91702470306106
136,1617400300.7,44.36455061733,-1.17,36.02288076087203,,,-86.72219229999999,36.1102187,,,0.0,0.0,0.0,0.0,200.2655971521407
137,1617400300.8,44.10390701062104,-1.17,36.0,,,-86.7221853,36.110208,,,0.0,0.0,0.0,0.0,201.6113370207666
138,1617400300.9,43.8018551841152,-1.37,36.0,,,-86.7221788,36.1101975,,,0.0,0.0,0.0,0.0,202.91675622335995
139,1617400301.0,43.58044856642288,-1.1818493857699497,36.0,,,-86.722172,36.110187,,,0.0,0.0,0.0,0.0,204.2344505555399
140,1617400301.1,43.4,-1.17,36.0,,,-86.7221653,36.1101763,,,0.0,0.0,0.0,0.0,205.56781050202395
141,1617400301.2,43.0871883762665,-1.3344421112914002,35.52167348140239,,,-86.72215870000001,36.110166,,,0.0,0.0,0.0,0.0,206.8574831841831
142,1617400301.3,42.85603776787229,-1.37,35.021824235829975,,,-86.72215200000001,36.1101557,,,0.0,0.0,0.0,0.0,208.15131034387184
143,1617400301.4,42.62406097250869,-1.37,35.0,,,-86.7221455,36.1101453,,,0.0,0.0,0.0,0.0,209.44679416714075
144,1617400301.5,42.36711237969774,-1.17,35.0,,,-86.7221388,36.1101352,,,0.0,0.0,0.0,0.0,210.72097724535524
145,1617400301.6,42.16654092730395,-1.2446451712434434,34.52257514516341,,,-86.7221323,36.110125,,,0.0,0.0,0.0,0.0,211.99664865638587
146,1617400301.7,41.891798118701416,-1.37,34.022484529813646,,,-86.72212579999999,36.110115,,,0.0,0.0,0.0,0.0,213.25258886850708
147,1617400301.8,41.69689440993789,-1.17,34.0,,,-86.7221193,36.1101048,,,0.0,0.0,0.0,0.0,214.52826034698967
148,1617400301.9,41.378865946721575,-1.37,34.0,,,-86.7221128,36.110095,,,0.0,0.0,0.0,0.0,215.7645545337582
149,1617400302.0,41.15107744685462,-1.37,34.0,,,-86.7221063,36.110085,,,0.0,0.0,0.0,0.0,217.02049485027
150,1617400302.1,40.92689010089991,-1.27,33.76097705331125,,,-86.72209989999999,36.110075,,,0.0,0.0,0.0,0.0,218.27228394568345
151,1617400302.2,40.70270275494519,-1.17,33.521954106622495,,,-86.7220935,36.110065000000006,,,0.0,0.0,0.0,0.0,219.52407307413006
152,1617400302.3,40.42448136400404,-1.17,33.02247153545965,,,-86.7220872,36.1100555,,,0.0,0.0,0.0,0.0,220.7224783636027
153,1617400302.4,40.19106317129227,-1.2724669538642808,33.0,,,-86.7220808,36.1100458,,,0.0,0.0,0.0,0.0,221.94473165368203
154,1617400302.5,39.93620576388443,-1.37,33.0,,,-86.7220745,36.1100362,,,0.0,0.0,0.0,0.0,223.15294985781907
155,1617400302.6,39.65585228907389,-1.37,32.522523501148946,,,-86.72206820000001,36.1100265,,,0.0,0.0,0.0,0.0,224.37100339978548
156,1617400302.7,39.39888903930328,-1.204768088717069,32.0218448774956,,,-86.7220618,36.110017,,,0.0,0.0,0.0,0.0,225.57367725035286
157,1617400302.8,39.13213292510598,-1.37,32.0,,,-86.72205579999999,36.1100073,,,0.0,0.0,0.0,0.0,226.7794452443317
158,1617400302.9,38.902791270874296,-1.17,32.0,,,-86.7220497,36.109998,,,0.0,0.0,0.0,0.0,227.94977528435794
159,1617400303.0,38.70924645734927,-1.17,32.0,,,-86.72204350000001,36.1099887,,,0.0,0.0,0.0,0.0,229.12433840328944
160,1617400303.1,38.39945603440827,-1.37,32.0,,,-86.7220373,36.10997929999999,,,0.0,0.0,0.0,0.0,230.30870315433424
161,1617400303.2,38.19245755130101,-1.37,32.0,,,-86.7220312,36.10997,,,0.0,0.0,0.0,0.0,231.47903328513078
162,1617400303.3,37.91138908608578,-1.17,32.0,,,-86.7220252,36.109961,,,0.0,0.0,0.0,0.1420645393139382,232.61570736264446
163,1617400303.4,37.75846269209406,-1.17,32.0,,,-86.72201899999999,36.1099518,,,0.0,0.0,0.0,0.2980989685152937,233.78049268181923
164,1617400303.5,37.45101739202951,-1.3079097893055451,32.0,,,-86.722013,36.109942700000005,,,0.0,0.0,0.0,0.4541330257021124,234.92696880236468
165,1617400303.6,37.159378134584166,-1.37,31.52398552976005,,,-86.72200699999999,36.109933700000006,,,0.0,0.0,0.0,0.610167082888931,236.06364296932009
