,Time,Velocity,Acceleration,SpaceGap,RelativeVelocity,Long,Lat
9330,1615299301.0,82.2777434387804,-0.059089406379423094,66.61326274030378,2.6378888152977584,-86.682817,36.0632095
9331,1615299301.1,82.25648289236737,0.0,66.8645076707976,2.6022006149435226,-86.6828335,36.0632255
9332,1615299301.2,82.23418617122809,-0.006237216904039225,67.18052707235266,2.6156524516850346,-86.6828502,36.0632415
9333,1615299301.3,82.23767370989275,-0.095,67.50080227246262,2.6323334516907617,-86.6828668,36.0632575
9334,1615299301.4,82.19987003331772,-0.014317961431498827,67.812141843904,2.656349093767111,-86.6828835,36.0632735
9335,1615299301.5,82.18615471604438,0.0,68.11212968503769,2.6896810761152983,-86.68290019999998,36.0632893
9336,1615299301.6,82.2087218150544,0.0,68.41211752617136,2.723013058463485,-86.6829168,36.0633053
9337,1615299301.7,82.15493113462131,0.0,68.71210608253247,2.7563451202813867,-86.68293349999998,36.0633213
9338,1615299301.8,82.16862813105693,0.0,69.15009066978648,2.7970182611238985,-86.6829502,36.06333720000001
9339,1615299301.9,82.16046984063672,-0.013464476129116595,69.76347323778883,2.8470222748197416,-86.682967,36.0633532
9340,1615299302.0,82.15509741374638,0.0,69.94159344132466,2.844469006198256,-86.68298349999998,36.063369
9341,1615299302.1,82.15445572132057,0.0,70.09215266408326,2.8385877865592475,-86.6830003,36.0633848
9342,1615299302.2,82.13862259904943,0.0,70.24271224580338,2.8327065528983058,-86.683017,36.0634008
9343,1615299302.3,82.14412527404285,-0.054776605101143364,70.39327146856198,2.826825333259298,-86.68303370000002,36.06341679999999
9344,1615299302.4,82.08183063762755,0.0,70.63923227557969,2.847988339489964,-86.6830503,36.06343270000001
9345,1615299302.5,82.07563025699801,-0.095,70.92812713389242,2.8813223616029706,-86.68306700000002,36.0634485
9346,1615299302.6,82.04017045001991,0.0,71.21702199220515,2.914656383715977,-86.6830835,36.0634645
9347,1615299302.7,82.11430115507724,-0.19099859891046855,71.50591753929754,2.9479904853035612,-86.6831003,36.0634803
9348,1615299302.8,82.03493999678976,0.0,71.793122122939,2.9736448438025773,-86.6831168,36.0634963
9349,1615299302.9,82.08617182671236,0.0,72.0731088675125,2.966502324808355,-86.6831333,36.06351220000001
9350,1615299303.0,82.0930810353737,-0.195,72.35309494454656,2.9593598228432008,-86.68315,36.0635282
9351,1615299303.1,82.06545237986167,-0.048302136676673144,72.6330810215806,2.952217320878046,-86.6831663,36.0635442
9352,1615299303.2,82.05784200000001,-0.170397206621342,72.96937369651147,2.95,-86.683183,36.06356
9353,1615299303.3,82.12359973622267,0.12391353372727013,73.33101440118506,2.9500000000000006,-86.6831995,36.063576
9354,1615299303.4,82.0625493719613,0.01922012641901225,73.66247830032411,2.96683373567059,-86.683216,36.063592
9355,1615299303.5,82.02434116763452,0.1000498702744436,73.95561980493464,3.005044025375839,-86.68323249999997,36.0636078
9356,1615299303.6,82.04025737461056,0.095,74.24876130954516,3.043254315081088,-86.683249,36.0636238
9357,1615299303.7,82.02945483276271,-0.14800213180090832,74.54190351306018,3.081464695886854,-86.6832655,36.0636398
9358,1615299303.8,81.92574259601824,0.0,74.83661360595711,3.101668315186776,-86.68328199999998,36.0636558
